	Gene	merge1
273	AT1G03530.Araport11.447	640
274	AT1G03540.Araport11.447	41
275	AT1G03550.Araport11.447	486
276	AT1G03560.Araport11.447	193
277	AT1G03590.Araport11.447	606
278	AT1G03600.Araport11.447	126
279	AT1G03610.Araport11.447	1010
280	AT1G03620.Araport11.447	36
281	AT1G03630.Araport11.447	49
282	AT1G03650.Araport11.447	187
283	AT1G03660.Araport11.447	400
284	AT1G03670.Araport11.447	1
285	AT1G03680.Araport11.447	482
286	AT1G03687.Araport11.447	714
287	AT1G03700.Araport11.447	249
288	AT1G03710.Araport11.447	14
289	AT1G03720.Araport11.447	2
290	AT1G03730.Araport11.447	1142
291	AT1G03740.Araport11.447	568
292	AT1G03750.Araport11.447	112
293	AT1G03760.Araport11.447	155
294	AT1G03770.Araport11.447	263
295	AT1G03780.Araport11.447	319
296	AT1G03790.Araport11.447	35
297	AT1G03800.Araport11.447	16
298	AT1G03810.Araport11.447	1
299	AT1G03820.Araport11.447	166
300	AT1G03830.Araport11.447	225
301	AT1G03840.Araport11.447	649
302	AT1G03850.Araport11.447	5800
303	AT1G03860.Araport11.447	6078
304	AT1G03870.Araport11.447	11669
305	AT1G03880.Araport11.447	4
306	AT1G03890.Araport11.447	1
307	AT1G03900.Araport11.447	2790
308	AT1G03905.Araport11.447	434
309	AT1G03910.Araport11.447	1153
310	AT1G03920.Araport11.447	356
311	AT1G03930.Araport11.447	379
312	AT1G03940.Araport11.447	82
313	AT1G03950.Araport11.447	580
314	AT1G03960.Araport11.447	122
315	AT1G03970.Araport11.447	766
316	AT1G03980.Araport11.447	35
317	AT1G03982.Araport11.447	10
318	AT1G03990.Araport11.447	46
319	AT1G04000.Araport11.447	273
320	AT1G04010.Araport11.447	100
321	AT1G04020.Araport11.447	359
322	AT1G04030.Araport11.447	275
323	AT1G04040.Araport11.447	8901
324	AT1G04050.Araport11.447	69
325	AT1G04070.Araport11.447	890
326	AT1G04080.Araport11.447	1153
327	AT1G04090.Araport11.447	34
328	AT1G04100.Araport11.447	132
329	AT1G04105.Araport11.447	0
330	AT1G04110.Araport11.447	3
331	AT1G04120.Araport11.447	676
332	AT1G04130.Araport11.447	495
333	AT1G04140.Araport11.447	2656
334	AT1G04150.Araport11.447	19
335	AT1G04160.Araport11.447	143
336	AT1G04170.Araport11.447	2160
337	AT1G04180.Araport11.447	52
338	AT1G04190.Araport11.447	2333
339	AT1G04200.Araport11.447	537
340	AT1G04210.Araport11.447	516
341	AT1G04220.Araport11.447	1101
342	AT1G04230.Araport11.447	408
343	AT1G04240.Araport11.447	299
344	AT1G04250.Araport11.447	12064
345	AT1G04260.Araport11.447	1186
346	AT1G04270.Araport11.447	12978
347	AT1G04280.Araport11.447	1995
348	AT1G04290.Araport11.447	977
349	AT1G04300.Araport11.447	595
350	AT1G04310.Araport11.447	94
351	AT1G04330.Araport11.447	84
352	AT1G04340.Araport11.447	3376
353	AT1G04350.Araport11.447	85
354	AT1G04360.Araport11.447	629
355	AT1G04370.Araport11.447	4
356	AT1G04380.Araport11.447	7
357	AT1G04390.Araport11.447	105
358	AT1G04400.Araport11.447	1225
359	AT1G04410.Araport11.447	28014
360	AT1G04420.Araport11.447	230
361	AT1G04430.Araport11.447	1732
362	AT1G04440.Araport11.447	2425
363	AT1G04445.Araport11.447	18
364	AT1G04450.Araport11.447	4
365	AT1G04455.Araport11.447	0
366	AT1G04470.Araport11.447	4
367	AT1G04480.Araport11.447	7246
368	AT1G04490.Araport11.447	73
369	AT1G04500.Araport11.447	2
370	AT1G04510.Araport11.447	1686
371	AT1G04520.Araport11.447	823
372	AT1G04530.Araport11.447	1034
373	AT1G04540.Araport11.447	107
374	AT1G04550.Araport11.447	353
375	AT1G04555.Araport11.447	451
376	AT1G04560.Araport11.447	6
377	AT1G04570.Araport11.447	18
378	AT1G04580.Araport11.447	5
379	AT1G04590.Araport11.447	1036
380	AT1G04600.Araport11.447	54
381	AT1G04610.Araport11.447	248
382	AT1G04620.Araport11.447	36
383	AT1G04625.Araport11.447	6
384	AT1G04630.Araport11.447	2298
385	AT1G04635.Araport11.447	119
386	AT1G04640.Araport11.447	222
387	AT1G04645.Araport11.447	2
388	AT1G04650.Araport11.447	39
389	AT1G04660.Araport11.447	6
390	AT1G04670.Araport11.447	3
391	AT1G04680.Araport11.447	3361
392	AT1G04690.Araport11.447	5349
393	AT1G04700.Araport11.447	71
394	AT1G04710.Araport11.447	256
395	AT1G04730.Araport11.447	158
396	AT1G04750.Araport11.447	7255
397	AT1G04760.Araport11.447	152
398	AT1G04770.Araport11.447	704
399	AT1G04778.Araport11.447	81
400	AT1G04780.Araport11.447	496
401	AT1G04790.Araport11.447	633
402	AT1G04800.Araport11.447	7
403	AT1G04810.Araport11.447	2469
404	AT1G04820.Araport11.447	19835
405	AT1G04830.Araport11.447	532
406	AT1G04840.Araport11.447	30
407	AT1G04850.Araport11.447	5443
408	AT1G04860.Araport11.447	619
409	AT1G04870.Araport11.447	3895
410	AT1G04880.Araport11.447	19
411	AT1G04890.Araport11.447	1
412	AT1G04895.Araport11.447	0
413	AT1G04900.Araport11.447	816
414	AT1G04910.Araport11.447	632
415	AT1G04920.Araport11.447	13
416	AT1G04930.Araport11.447	159
417	AT1G04945.Araport11.447	239
418	AT1G04940.Araport11.447	117
419	AT1G04950.Araport11.447	625
420	AT1G04960.Araport11.447	2125
421	AT1G04970.Araport11.447	1673
422	AT1G04980.Araport11.447	2124
423	AT1G04985.Araport11.447	1323
424	AT1G04990.Araport11.447	1119
425	AT1G05000.Araport11.447	1335
426	AT1G05005.Araport11.447	0
427	AT1G05010.Araport11.447	817
428	AT1G05020.Araport11.447	41
429	AT1G05030.Araport11.447	74
430	AT1G05035.Araport11.447	6
431	AT1G05040.Araport11.447	0
432	AT1G05055.Araport11.447	633
433	AT1G05060.Araport11.447	514
434	AT1G05065.Araport11.447	50
435	AT1G05070.Araport11.447	1110
436	AT1G05080.Araport11.447	1
437	AT1G05085.Araport11.447	0
438	AT1G05087.Araport11.447	19
439	AT1G05090.Araport11.447	15
440	AT1G05100.Araport11.447	66
441	AT1G05120.Araport11.447	464
442	AT1G05136.Araport11.447	2
443	AT1G05140.Araport11.447	263
444	AT1G05150.Araport11.447	772
445	AT1G05160.Araport11.447	228
446	AT1G05170.Araport11.447	623
447	AT1G05180.Araport11.447	1691
448	AT1G05190.Araport11.447	523
449	AT1G05200.Araport11.447	49
450	AT1G05205.Araport11.447	2921
451	AT1G05210.Araport11.447	1296
452	AT1G05220.Araport11.447	345
453	AT1G05230.Araport11.447	84
454	AT1G05240.Araport11.447	51
455	AT1G05250.Araport11.447	35
456	AT1G05260.Araport11.447	8150
457	AT1G05270.Araport11.447	1179
458	AT1G05280.Araport11.447	349
459	AT1G05290.Araport11.447	6
460	AT1G05291.Araport11.447	6
461	AT1G05300.Araport11.447	838
462	AT1G05310.Araport11.447	102
463	AT1G05320.Araport11.447	582
464	AT1G05330.Araport11.447	5
465	AT1G05340.Araport11.447	2002
466	AT1G05350.Araport11.447	2010
467	AT1G05360.Araport11.447	1424
468	AT1G05370.Araport11.447	31
469	AT1G05380.Araport11.447	625
470	AT1G05385.Araport11.447	193
471	AT1G05400.Araport11.447	40
472	AT1G05410.Araport11.447	742
473	AT1G05420.Araport11.447	44
474	AT1G05430.Araport11.447	835
475	AT1G05440.Araport11.447	178
476	AT1G05450.Araport11.447	15
477	AT1G05460.Araport11.447	66
478	AT1G05470.Araport11.447	211
